participantId,category,date,amount
0,Education,2022-03-01,38.005379553639905
0,Education,2022-04-01,38.005379553639905
0,Education,2022-05-01,38.005379553639905
0,Education,2022-06-01,38.005379553639905
0,Education,2022-07-01,38.005379553639905
0,Education,2022-08-01,38.005379553639905
0,Education,2022-09-01,38.005379553639905
0,Education,2022-10-01,38.005379553639905
0,Education,2022-11-01,38.005379553639905
0,Education,2022-12-01,38.005379553639905
0,Education,2023-01-01,38.005379553639905
0,Education,2023-02-01,38.005379553639905
0,Education,2023-03-01,38.005379553639905
0,Education,2023-04-01,38.005379553639905
0,Education,2023-05-01,38.005379553639905
0,Food,2022-03-01,268.33803224508006
0,Food,2022-04-01,265.85599311669637
0,Food,2022-05-01,264.61607219907125
0,Food,2022-06-01,256.97234448194615
0,Food,2022-07-01,270.2128201318184
0,Food,2022-08-01,261.83863398152425
0,Food,2022-09-01,256.1188748603559
0,Food,2022-10-01,266.73523327297914
0,Food,2022-11-01,261.07410646385836
0,Food,2022-12-01,266.0551086020535
0,Food,2023-01-01,265.04280700986635
0,Food,2023-02-01,239.1161556497147
0,Food,2023-03-01,260.61719263990324
0,Food,2023-04-01,258.13515351151955
0,Food,2023-05-01,207.852229868493
0,Recreation,2022-03-01,348.71739185677563
0,Recreation,2022-04-01,219.4290494535115
0,Recreation,2022-05-01,383.00882045557034
0,Recreation,2022-06-01,465.68158799543517
0,Recreation,2022-07-01,1069.5440798270233
0,Recreation,2022-08-01,314.14167666085586
0,Recreation,2022-09-01,294.64613199660727
0,Recreation,2022-10-01,25.014927621004997
0,Recreation,2022-11-01,377.4423992036415
0,Recreation,2022-12-01,356.72425320330336
0,Recreation,2023-01-01,209.75755842624787
0,Recreation,2023-02-01,319.95930956561193
0,Recreation,2023-03-01,146.2151904951569
0,Recreation,2023-04-01,118.22929352964049
0,Recreation,2023-05-01,221.84338082745495
0,Shelter,2022-03-01,554.9886216892347
0,Shelter,2022-04-01,554.9886216892347
0,Shelter,2022-05-01,554.9886216892347
0,Shelter,2022-06-01,554.9886216892347
0,Shelter,2022-07-01,554.9886216892347
0,Shelter,2022-08-01,554.9886216892347
0,Shelter,2022-09-01,554.9886216892347
0,Shelter,2022-10-01,554.9886216892347
0,Shelter,2022-11-01,554.9886216892347
0,Shelter,2022-12-01,554.9886216892347
0,Shelter,2023-01-01,554.9886216892347
0,Shelter,2023-02-01,554.9886216892347
0,Shelter,2023-03-01,554.9886216892347
0,Shelter,2023-04-01,554.9886216892347
0,Shelter,2023-05-01,554.9886216892347
1,Education,2022-03-01,38.005379553639905
1,Education,2022-04-01,38.005379553639905
1,Education,2022-05-01,38.005379553639905
1,Education,2022-06-01,38.005379553639905
1,Education,2022-07-01,38.005379553639905
1,Education,2022-08-01,38.005379553639905
1,Education,2022-09-01,38.005379553639905
1,Education,2022-10-01,38.005379553639905
1,Education,2022-11-01,38.005379553639905
1,Education,2022-12-01,38.005379553639905
1,Education,2023-01-01,38.005379553639905
1,Education,2023-02-01,38.005379553639905
1,Education,2023-03-01,38.005379553639905
1,Education,2023-04-01,38.005379553639905
1,Education,2023-05-01,38.005379553639905
1,Food,2022-03-01,288.94104534172277
1,Food,2022-04-01,256.6327258076254
1,Food,2022-05-01,258.141154558115
1,Food,2022-06-01,260.9881104440233
1,Food,2022-07-01,270.58876241228506
1,Food,2022-08-01,270.81126747782537
1,Food,2022-09-01,255.0209598521492
1,Food,2022-10-01,264.5909978356592
1,Food,2022-11-01,257.8439358754757
1,Food,2022-12-01,283.790956621342
