participantId,date,hour,amount
0,2022-03-01,11.666666666666666,518.780331437028
0,2022-04-01,12.0,411.2800027882485
0,2022-05-01,10.666666666666666,411.2800027882485
0,2022-06-01,10.333333333333334,411.2800027882485
0,2022-07-01,11.666666666666666,411.2800027882485
0,2022-08-01,10.0,411.28000278824845
0,2022-09-01,10.333333333333334,411.2800027882485
0,2022-10-01,10.333333333333334,411.2800027882485
0,2022-11-01,11.333333333333334,411.2800027882485
0,2022-12-01,10.666666666666666,411.2800027882485
0,2023-01-01,10.666666666666666,411.2800027882485
0,2023-02-01,9.333333333333334,411.28000278824857
0,2023-03-01,9.666666666666666,411.28000278824845
0,2023-04-01,10.0,411.28000278824857
0,2023-05-01,8.666666666666666,411.28000278824857
1,2022-03-01,10.333333333333334,450.3923317279985
1,2022-04-01,6.666666666666667,361.4113662331284
1,2022-05-01,3.0,361.4113662331284
1,2022-06-01,9.0,361.4113662331284
1,2022-07-01,7.333333333333333,361.4113662331284
1,2022-08-01,9.0,361.4113662331284
1,2022-09-01,7.333333333333333,361.4113662331284
1,2022-10-01,7.666666666666667,361.4113662331284
1,2022-11-01,7.333333333333333,361.4113662331284
1,2022-12-01,8.333333333333334,361.4113662331284
1,2023-01-01,6.666666666666667,361.4113662331284
1,2023-02-01,5.333333333333333,361.4113662331284
1,2023-03-01,9.0,361.4113662331284
1,2023-04-01,7.333333333333333,361.4113662331284
1,2023-05-01,6.0,361.4113662331284
2,2022-03-01,7.666666666666667,422.6984542612429
2,2022-04-01,11.666666666666666,316.74561574379914
2,2022-05-01,8.333333333333334,316.74561574379914
2,2022-06-01,7.0,316.74561574379914
2,2022-07-01,7.333333333333333,316.74561574379914
2,2022-08-01,12.0,316.74561574379914
2,2022-09-01,7.0,316.74561574379914
2,2022-10-01,13.0,316.74561574379914
2,2022-11-01,5.666666666666667,316.74561574379914
2,2022-12-01,10.0,316.74561574379914
2,2023-01-01,14.0,316.74561574379914
2,2023-02-01,8.0,316.74561574379914
2,2023-03-01,11.333333333333334,316.74561574379914
2,2023-04-01,11.666666666666666,316.7456157437991
2,2023-05-01,8.333333333333334,316.74561574379914
3,2022-03-01,10.333333333333334,409.0375722269644
3,2022-04-01,10.666666666666666,306.1406275508561
3,2022-05-01,9.666666666666666,306.1406275508561
3,2022-06-01,10.333333333333334,306.1406275508561
3,2022-07-01,10.333333333333334,306.1406275508561
3,2022-08-01,10.0,306.1406275508561
3,2022-09-01,8.666666666666666,306.1406275508561
3,2022-10-01,11.0,306.1406275508561
3,2022-11-01,11.333333333333334,306.1406275508561
3,2022-12-01,10.333333333333334,306.1406275508561
3,2023-01-01,10.333333333333334,306.1406275508561
3,2023-02-01,10.0,306.1406275508561
3,2023-03-01,10.333333333333334,306.1406275508561
3,2023-04-01,9.666666666666666,306.1406275508561
3,2023-05-01,8.0,306.1406275508561
4,2022-03-01,8.666666666666666,503.90374992134787
4,2022-04-01,9.666666666666666,396.91337745581853
4,2022-05-01,10.666666666666666,396.91337745581853
4,2022-06-01,10.0,396.91337745581853
4,2022-07-01,11.0,396.91337745581853
4,2022-08-01,10.333333333333334,396.9133774558185
4,2022-09-01,8.333333333333334,396.91337745581853
4,2022-10-01,9.333333333333334,396.91337745581853
4,2022-11-01,10.666666666666666,396.91337745581853
4,2022-12-01,9.333333333333334,396.91337745581853
4,2023-01-01,9.666666666666666,396.91337745581853
4,2023-02-01,10.0,396.91337745581853
4,2023-03-01,11.0,396.9133774558185
4,2023-04-01,9.333333333333334,396.91337745581853
4,2023-05-01,6.333333333333333,396.91337745581853
5,2022-03-01,4.333333333333333,181.25742348868812
5,2022-04-01,3.0,80.0
5,2022-05-01,5.0,80.0
5,2022-06-01,3.0,80.0
5,2022-07-01,5.666666666666667,80.0
5,2022-08-01,3.6666666666666665,80.0
5,2022-09-01,5.0,80.0
5,2022-10-01,6.0,80.0
5,2022-11-01,6.333333333333333,80.0
5,2022-12-01,4.0,80.0
5,2023-01-01,4.0,80.0
